study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
heart,,,,0,0,0,9,,,,,13.948432200122625,13.948432200122625,1.0740740740740742,3.2756082001142204,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
career,,,,0,1,1,6,,,,,17.206200200133026,17.206200200133026,1.0740740740740742,1.1087470001075417,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
blink,,,,0,2,2,14,,,,,18.342145700007677,18.342145700007677,1.0740740740740742,0.9588250999804586,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
emotions,,,,0,3,3,5,,,,,19.324745200108737,19.324745200108737,1.0740740740740742,0.8895557001233101,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
love,,,,0,4,4,8,,,,,20.240329100051895,20.240329100051895,1.0740740740740742,0.8081942000426352,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
pink,,,,0,5,5,2,,,,,21.075888500083238,21.075888500083238,1.0740740740740742,0.743711199844256,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
placate,,,,0,6,6,10,,,,,21.839920400176197,21.839920400176197,4.907407407407407,2.31257600011304,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
zealot,,,,0,7,7,1,,,,,24.177366300020367,24.177366300020367,4.907407407407407,0.7092609999235719,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
flower,,,,0,8,8,0,,,,,24.906865800032392,24.906865800032392,4.907407407407407,0.3110435998532921,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
fit,,,,0,9,9,12,,,,,25.241040900116786,25.241040900116786,1.5777777777777777,2.7763356999494135,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
neon,,,,0,10,10,3,,,,,28.042293900158256,28.042293900158256,1.5777777777777777,0.9621089000720531,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
dogma,,,,0,11,11,7,,,,,29.027970700059086,29.027970700059086,4.774074074074074,2.4072451000101864,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
wonky,,,,0,12,12,4,,,,,31.46199219999835,31.46199219999835,4.770370370370371,1.140614700037986,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
miser,,,,0,13,13,13,,,,,32.62762340018526,32.62762340018526,4.292592592592593,2.0457746000029147,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
space,,,,0,14,14,11,,,,,34.6948679999914,34.6948679999914,1.5148148148148148,2.0290569001808763,,,,,,,,,,,,,1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
,p_n_,pink,old,,,,,0,0,0,2,,,,,36.75043580005877,36.75043580005877,36.75043580005877,0.011497800005599856,pens,[],[],[],[],[],[],[],1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
,_e_l_t,zealot,old,,,,,0,1,1,1,,,,,46.765808399999514,46.765808399999514,46.765808399999514,0.02068050019443035,zealot,"[-0.3712962962962963, -0.07962962962962963]","[-0.2972222222222222, -0.29814814814814816]","[1, 1]","[0, 0]","[0, 0]","[6.9803175998386, 8.750680499942973]",['text_3'],1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
,at_oc_t_,atrocity,new,,,,,0,2,2,18,,,,,55.51908070011996,55.51908070011996,55.51908070011996,0.0021120000164955854,atrocity,[-0.053703703703703705],[-0.30462962962962964],[1],[0],[0],[6.716466400073841],['text_3'],1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
,h_ar_,heart,old,,,,,0,3,3,9,,,,,62.23829590016976,62.23829590016976,62.23829590016976,0.0019116001203656197,heard,[-0.053703703703703705],[-0.30462962962962964],[1],[0],[0],[5.7958340998739],['text_3'],1,001,2023-10-06_18h13.56.521,Lab experiment 5,2023.1.3,59.78615686055982,
